Groups:
artData =, artData[7], artData[6], artData[5], artData[4], artData[3], artData[2], artData[1], artData[0],  hex
artAddr =, artAddr[9], artAddr[8], artAddr[7], artAddr[6], artAddr[5], artAddr[4], artAddr[3], artAddr[2], artAddr[1], artAddr[0],  hex
ShiftWindowFilter:inst|fineAddr =, ShiftWindowFilter:inst|fineAddr[9], ShiftWindowFilter:inst|fineAddr[8], ShiftWindowFilter:inst|fineAddr[7], ShiftWindowFilter:inst|fineAddr[6], ShiftWindowFilter:inst|fineAddr[5], ShiftWindowFilter:inst|fineAddr[4], ShiftWindowFilter:inst|fineAddr[3], ShiftWindowFilter:inst|fineAddr[2], ShiftWindowFilter:inst|fineAddr[1], ShiftWindowFilter:inst|fineAddr[0],  hex

Data:
time unit: ns, artData, artData[7], artData[6], artData[5], artData[4], artData[3], artData[2], artData[1], artData[0], artAddr, artAddr[9], artAddr[8], artAddr[7], artAddr[6], artAddr[5], artAddr[4], artAddr[3], artAddr[2], artAddr[1], artAddr[0], ShiftWindowFilter:inst|fineAddr, ShiftWindowFilter:inst|fineAddr[9], ShiftWindowFilter:inst|fineAddr[8], ShiftWindowFilter:inst|fineAddr[7], ShiftWindowFilter:inst|fineAddr[6], ShiftWindowFilter:inst|fineAddr[5], ShiftWindowFilter:inst|fineAddr[4], ShiftWindowFilter:inst|fineAddr[3], ShiftWindowFilter:inst|fineAddr[2], ShiftWindowFilter:inst|fineAddr[1], ShiftWindowFilter:inst|fineAddr[0], artRD, artWR, artDIR, 
0, XX, X, X, X, X, X, X, X, X, XXX, X, X, X, X, X, X, X, X, X, X, XXX, X, X, X, X, X, X, X, X, X, X, X, X, X, 
10, FF, 1, 1, 1, 1, 1, 1, 1, 1, 301, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 301, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 
20, FF, 1, 1, 1, 1, 1, 1, 1, 1, 301, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 301, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 
30, FF, 1, 1, 1, 1, 1, 1, 1, 1, 301, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 301, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 
40, FF, 1, 1, 1, 1, 1, 1, 1, 1, 301, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 301, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 
50, FF, 1, 1, 1, 1, 1, 1, 1, 1, 301, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 301, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 
60, FF, 1, 1, 1, 1, 1, 1, 1, 1, 301, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 301, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 
70, FF, 1, 1, 1, 1, 1, 1, 1, 1, 301, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 301, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 
80, FF, 1, 1, 1, 1, 1, 1, 1, 1, 301, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 301, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 
90, FF, 1, 1, 1, 1, 1, 1, 1, 1, 301, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 301, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 
100, FF, 1, 1, 1, 1, 1, 1, 1, 1, 301, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 301, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 
